Team Tag,Team Name,Category,Captain Username,Email,Password,Player ID
A64M01,Crimson Nova,Male,ath64_t1_s1,ath64_t1_s1@ath64.local,KoratDemo@2569,645
A64M02,Lunar Wolves,Male,ath64_t2_s1,ath64_t2_s1@ath64.local,KoratDemo@2569,653
A64M03,Neon Falcons,Male,ath64_t3_s1,ath64_t3_s1@ath64.local,KoratDemo@2569,661
A64M04,Thunder Core,Male,ath64_t4_s1,ath64_t4_s1@ath64.local,KoratDemo@2569,669
A64M05,Mystic Raiders,Male,ath64_t5_s1,ath64_t5_s1@ath64.local,KoratDemo@2569,677
A64M06,Phoenix Byte,Male,ath64_t6_s1,ath64_t6_s1@ath64.local,KoratDemo@2569,685
A64M07,Silent Vortex,Male,ath64_t7_s1,ath64_t7_s1@ath64.local,KoratDemo@2569,693
A64M08,Quantum Foxes,Male,ath64_t8_s1,ath64_t8_s1@ath64.local,KoratDemo@2569,701
A64M09,Arctic Blaze,Male,ath64_t9_s1,ath64_t9_s1@ath64.local,KoratDemo@2569,709
A64M10,Cyber Hawks,Male,ath64_t10_s1,ath64_t10_s1@ath64.local,KoratDemo@2569,717
A64M11,Inferno Squad,Male,ath64_t11_s1,ath64_t11_s1@ath64.local,KoratDemo@2569,725
A64M12,Storm Riders,Male,ath64_t12_s1,ath64_t12_s1@ath64.local,KoratDemo@2569,733
A64M13,Eclipse Force,Male,ath64_t13_s1,ath64_t13_s1@ath64.local,KoratDemo@2569,741
A64M14,Vortex Kings,Male,ath64_t14_s1,ath64_t14_s1@ath64.local,KoratDemo@2569,749
A64M15,Steel Dragons,Male,ath64_t15_s1,ath64_t15_s1@ath64.local,KoratDemo@2569,757
A64M16,Shadow Titans,Male,ath64_t16_s1,ath64_t16_s1@ath64.local,KoratDemo@2569,765
A64F17,Radiant Stars,Female,ath64_t17_s1,ath64_t17_s1@ath64.local,KoratDemo@2569,773
A64F18,Luna Sirens,Female,ath64_t18_s1,ath64_t18_s1@ath64.local,KoratDemo@2569,781
A64F19,Blazing Phoenixes,Female,ath64_t19_s1,ath64_t19_s1@ath64.local,KoratDemo@2569,789
A64F20,Crystal Queens,Female,ath64_t20_s1,ath64_t20_s1@ath64.local,KoratDemo@2569,797
A64F21,Aurora Spirits,Female,ath64_t21_s1,ath64_t21_s1@ath64.local,KoratDemo@2569,805
A64F22,Nebula Warriors,Female,ath64_t22_s1,ath64_t22_s1@ath64.local,KoratDemo@2569,813
A64F23,Starlight Pixies,Female,ath64_t23_s1,ath64_t23_s1@ath64.local,KoratDemo@2569,821
A64F24,Diamond Angels,Female,ath64_t24_s1,ath64_t24_s1@ath64.local,KoratDemo@2569,829
A64F25,Mystic Maidens,Female,ath64_t25_s1,ath64_t25_s1@ath64.local,KoratDemo@2569,837
A64F26,Thunder Goddesses,Female,ath64_t26_s1,ath64_t26_s1@ath64.local,KoratDemo@2569,845
A64F27,Neon Nymphs,Female,ath64_t27_s1,ath64_t27_s1@ath64.local,KoratDemo@2569,853
A64F28,Twilight Valkyries,Female,ath64_t28_s1,ath64_t28_s1@ath64.local,KoratDemo@2569,861
A64F29,Quantum Goddesses,Female,ath64_t29_s1,ath64_t29_s1@ath64.local,KoratDemo@2569,869
A64F30,Celestial Beauties,Female,ath64_t30_s1,ath64_t30_s1@ath64.local,KoratDemo@2569,877
A64F31,Cosmic Princesses,Female,ath64_t31_s1,ath64_t31_s1@ath64.local,KoratDemo@2569,885
A64F32,Eternal Sorceresses,Female,ath64_t32_s1,ath64_t32_s1@ath64.local,KoratDemo@2569,893
A64X33,Void Sentinels,Mixed,ath64_t33_s1,ath64_t33_s1@ath64.local,KoratDemo@2569,901
A64X34,Apex Legends,Mixed,ath64_t34_s1,ath64_t34_s1@ath64.local,KoratDemo@2569,909
A64X35,Prism Riders,Mixed,ath64_t35_s1,ath64_t35_s1@ath64.local,KoratDemo@2569,917
